id;title;company;location;sdate;edate;description
8cc62610-6446-4f98-9e31-6bc311328c38;Configurable software Regional;XSS;transform;2023-04-18;2023-04-18;plum 24/365 stable
5d5a4080-5fde-4799-a865-b676e153f373;SDD;back-end Awesome Sleek;Nebraska PNG;2023-04-18;2023-04-18;Borders Versatile Analyst
7214a9ab-ee8f-465d-98b5-2f0867243a54;synergistic plum Operative;online Cambridgeshire Car;RAM redundant;2023-04-17;2023-04-18;Tuna methodology Dynamic
725ccb84-3c92-4f63-80e4-02df0b95220e;payment;project Dakota generating;Buckinghamshire card;2023-04-17;2023-04-18;Island Operations
67a78c7c-e5d3-439f-9029-5219e8e2059d;Associate projection connecting;Cheese;cross-platform synthesizing;2023-04-17;2023-04-18;Loan connecting Korea
a48fac0f-f7e6-4276-84fe-2c0bd8e0d439;payment Analyst;Rubber Division frame;transmit;2023-04-18;2023-04-17;deposit
d8a5ab65-c174-4c2e-b8d3-fdfd0d8becd7;Loan drive;invoice Intranet;transmit models;2023-04-17;2023-04-17;auxiliary
e9e3dfc5-e066-4fd2-bda8-ed600a433cf6;violet scalable;Wooden virtual connecting;Human calculate Tasty;2023-04-18;2023-04-17;haptic indexing
8c7511b2-231c-411d-8fc3-143484ed5bb9;Investor pink;Serbia optical Triple-buffered;PCI Generic reboot;2023-04-18;2023-04-17;digital Planner
d6f4d26f-15cd-474a-80a6-3b9fd6044bc0;white;lavender;Balboa Credit;2023-04-18;2023-04-18;Divide Designer Beauty
